Row Name,SIL ID,Short Name,Long Description,Passage,Keywords,Projects
1,oc00001,M1S01 Luke Writing,"Luke Writing the book down.  A bearded man in ancient attire sits in a dimly lit stone room, writing carefully on a parchment scroll. His expression is thoughtful and focused as light filters through the room, illuminating his work. The setting evokes the early Christian era, where Luke the physician and companion of Paul wrote the Gospel of Luke and the Book of Acts, recording the life of Jesus and the early church.","Luke 1:1-4, Acts 1:1-2, Colossians 4:14, 2 Timothy 4:11","Luke the Evangelist, Gospel writer, Acts of the Apostles, ancient scribe, early church, parchment scroll, biblical manuscript, candlelight, ancient writing, New Testament, disciple of Paul, historian, first-century Judea, gospel account, inspiration, scripture writing, Holy Spirit guidance, faith record, ancient room, biblical author",Akuo Luke
2,"oc00002,ow00002,oi00002,ob00002",M1S02 Birth of John the Baptist Foretold,"An elderly priest, clothed in ornate first-century temple garments, stands before the altar of incense. A divine light breaks through the haze of smoke, illuminating his face in awe and reverence. The moment captures the sacred encounter of Zechariah in the temple as the angel Gabriel announces the birth of John the Baptist — a pivotal moment bridging silence and prophecy.",Luke 1:5-25,"Zechariah, angel Gabriel, temple, incense, priest, prophecy, divine encounter, holiness, light, awe, Luke 1, birth of John, Jerusalem, priestly garments, worship, revelation",Akuo Luke
3,"oc00003,ow00003,oi00003,ob00003",M1S02 Birth of John the Baptist Foretold,"An elderly priest, clothed in ornate first-century temple garments, stands before the altar of incense. A divine light breaks through the haze of smoke, illuminating his face in awe and reverence. The moment captures the sacred encounter of Zechariah in the temple as the angel Gabriel announces the birth of John the Baptist — a pivotal moment bridging silence and prophecy.",Luke 1:5-25,"Zechariah, angel Gabriel, temple, incense, priest, prophecy, divine encounter, holiness, light, awe, Luke 1, birth of John, Jerusalem, priestly garments, worship, revelation",Akuo Luke
4,"oc00004,oi00004,ow00004,ob00004",M1S03 - Gabriel Visits Mary,,Luke 1:26-38,,Akuo Luke
5,"oc00005,ow00005,ob00005,oi00005",M1S8 Birth,"
Image of the shepherds listening to the angels. They fill up the night sky and look like figures made of light/supernatural figures. It is an epic scene.

",Luke 2:8-20,,Akuo Luke
6,"oc00006,ow00006,oi00006,ob00006",M2S1 John Preps Way 1,"John (matching other image) is hip-deep in a river. There are crowds on the shore. In the crowd there are two Roman officers. He looks intense and is lecturing them.
",Luke 3:1-20,,Akuo Luke
7,"oc00007,ow00007,oi00007,ob00007",M2S4 Temptation,"Jesus walking in the wilderness with a figure made out of shadows. Jesus looks distressed/angry. There are rocks around.

",Luke 4:1-13,,Akuo Luke
8,"oc00008,oi00008,ow00008,ob00008",S4 - Mary Visits Elizabeth,,Luke 1:29-45,,Akuo Luke
9,"oc00009,ow00009,ob00009,oi00009",S5 - Mary's Song,,Luke 1:46-56,,Akuo Luke
10,"oc00010,ow00010,oi00010,ob00010",S6 - Birth of John the Baptist,,Luke 1:57-66,,Akuo Luke
11,"oc00011,ow00011,ob00011,oi00011",S6 - Birth of John the Baptist,,Luke 1:57-66,,Akuo Luke
12,"oc00012,ow00012,ob00012,oi00012",S7 - Zechariah’s Prophecy,"Elderly priest Zechariah, face uplifted and mouth open in prophetic blessing, bathed in warm dawn light with a scroll in his hand with Elizabeth holding infant in the background.",Luke 1:67-80,,Akuo Luke
13,"oc00013,ow00013,oi00013,ob00013",S7 - Zechariah’s Prophecy,"Elderly priest Zechariah, face uplifted and mouth open in prophetic blessing, bathed in warm dawn light with a scroll in his hand with Elizabeth holding infant in the background.",Luke 1:67-80,,Akuo Luke
14,"oc00014,oi00014,ow00014,ob00014",S9.2 - Simeon’s Song,"Simeon, an elderly bearded priest in simple robes, stands in a temple courtyard at dawn. He is shown three-quarter length, head tilted back, mouth open mid-proclamation, right hand raised in a loose blessing. Warm golden sunrise light falls across his face; the background is softly out of focus stone architecture. Keep composition tight on Simeon so his expression—gratitude and prophetic assurance—is the clear focal point.",Luke 2:29-32,,Akuo Luke
15,"oc00015,oi00015,ow00015,ob00015",S9.2 - Simeon’s Song,"Simeon, an elderly bearded priest in simple robes, stands in a temple courtyard at dawn. He is shown three-quarter length, head tilted back, mouth open mid-proclamation, right hand raised in a loose blessing. Warm golden sunrise light falls across his face; the background is softly out of focus stone architecture. Keep composition tight on Simeon so his expression—gratitude and prophetic assurance—is the clear focal point.",Luke 2:29-32,,Akuo Luke
16,"oc00016,oi00016,ow00016,ob00016",S9.2 - Simeon’s Song,"Simeon, an elderly bearded priest in simple robes, stands in a temple courtyard at dawn. He is shown three-quarter length, head tilted back, mouth open mid-proclamation, right hand raised in a loose blessing. Warm golden sunrise light falls across his face; the background is softly out of focus stone architecture. Keep composition tight on Simeon so his expression—gratitude and prophetic assurance—is the clear focal point.",Luke 2:29-32,,Akuo Luke
17,"oc00017,oi00017,ow00017,ob00017",S10 - Jesus Grows Up,,Luke 2:41-52,,Akuo Luke
18,"oc00018,oi00018,ow00018,ob00018",S10 - Jesus Grows Up,,Luke 2:41-52,,Akuo Luke
19,"oc00019,oi00019,ow00019,ob00019",S10 - Jesus Grows Up,,Luke 2:41-52,,Akuo Luke
20,"oc00020,ow00020,ob00020,oi00020",3 Women,"Three first century women. One is dressed in Roman women's clothing, the other two are wearing Jewish women’s clothing.","Luke 8:1-3, Luke 8:2",,Akuo Luke
21,"oc00021,ow00021,oi00021,ob00021",Baskets of fish and flatbread taken to crowd.,Twelve baskets are lined up full of fish and flatbread. Jesus directs some men to take the baskets to a large crowd. The men are in shock.,"Luke 9:10-17, Luke 9:16-17",,Akuo Luke
